,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline,FreqBand
3,0.707,13.493725,200.0,15.0,30.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
4,0.3995,17.153399,200.0,15.0,30.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
5,0.487,13.746319,200.0,15.0,30.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
6,0.4965278,14.794235,240.0,15.0,30.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
7,0.5655,13.347448,200.0,15.0,30.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
8,0.546,12.380194,200.0,15.0,30.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
9,0.4765,12.063537,200.0,15.0,30.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,beta
10,0.946,2.9969244,200.0,15.0,30.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
11,0.944,3.0310373,200.0,15.0,30.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
12,0.955,3.4370875,200.0,15.0,30.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
13,0.9205,3.0127757,200.0,15.0,30.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
14,0.884,3.4408903,200.0,15.0,30.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
15,0.4785,3.5946286,200.0,15.0,30.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
16,0.55243057,4.1511235,240.0,15.0,30.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
17,0.5325,3.485343,200.0,15.0,30.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
18,0.521,3.4963963,200.0,15.0,30.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,instantaneous+elasticnet,beta
